address,nft,group
0xB1Ad391Bb9B468F23ed64a92fDC27D2593bBC87b,6,Team C
0xf8C7110080489E5c488BDf0E11E728B2B416D87a,7,Team C
0xB0DcFa3E092bA75D6C9e1aADde13AE64be5A52C9,5,Team C
0xc2e3DDe014D0769a8AC27C01bA2577215D8E3EAb,5,Team D
0x0fb4F21de00891b421431165e9883CBBB36A9f25,7,Team D
0x32070eee6adf7Ed3181e00427239f998d931DdA5,3,Team D
0x475F799AA73Acad3C591a750F7ee23ada04F8D34,4,Team D
0x2e5C5bcBd42dA4CCB677600a88e043738bd35a16,3,Team D
0x27052fea6d5e4A1604c63A185D8F5F1D620E8090,4,Team D
0x4966eB974D3747F66498EE045a96952fF8Ca838d,5,Team D
0xa34D6DADb98265ACBf705B950FE72BD34f016E84,6,Team D
0xA4019a0424fB26E244aEeE897B68BA275c472B02,3,Team D
0x04f6b5e821680C7aa155d4Ca6cabd325d368eD2F,2,Team D
0xbF2C226141bC9a85E129223f6100dc912a7e2B6F,7,Team D
0xC052eF03A37de914Fa749A64c89A014f18547fCC,3,Team D
0xa90dCA0055F65b75fb04B95B2f8a67577fdCBAAD,6,Team D
0x8198457D6BfbDDE40EC0247c8FFB30e9e0F110Db,3,Team D
0x09a5C58137F7e2B5dDCc1B3650184F03bf26E4b2,3,Team D
0x605164176Ac2197535B1eF2D458A305b5CAAcD4F,1,Team D
0x1e86e648ebf990c2b48A4E558071163d1887724b,2,Team D
0x04027795E3AFB063292cf66f08c53ECC8f927dFf,6,Team D
0x487deD4B77377f785AcE461C553716Cd2dD2f659,2,Team D
0x46D037231C8776C454E0C834D0C3D34d04e3ec39,4,Team D
0xB21e66CB7eea86a1b82AcA453f5e57F22a3250A0,5,Team D
0xB2c700dF0af850A7742911fD39b3b43a4bEc949A,3,Team D
0xE24038c64D4c87aF190dFc7aeE936c6872fad368,6,Team D
0x5356b1463126aC73447CdffDD6efeEf97cD9fbC1,2,Team D
0xedBC0a019C518632de3DffEe94D5c66B5E1b356D,3,Team D
